Sample,Homolog,ConcDep1,ConcDep2,ConcDep3,ConcDep4,ConcDep5,ConcDep6,ConcDep7,ConcDep8,ConcDep9,ConcDep10,ConcDep11,ConcDep12,ConcDep13,ConcDep14,ConcDep15,ConcDep16,ConcDep17
SLN-O,4,453.13,533.84,685.05,1048.25,1794.32,2112.89,1611.78,4708.03,3029.86,,,,,,,,
SLN-O,5,371.65,431.1,526.95,673.13,970.73,1121.93,569.43,1472.22,1293.85,,,,,,,,
SLN-O,6,204.2,234,298.47,406.19,569.67,664.93,309.8,861.09,680.95,,,,,,,,
SLN-O,7,33.59,37.86,49.42,71.73,108.61,130.63,66.76,189.88,134.03,,,,,,,,
SLN-O,8,4.47,5.2,6.63,11,17.47,20.76,12.09,33.73,22.64,,,,,,,,
SLN-O,9,0.65,0.96,1.13,1.7,2.76,3.51,2.3,6.56,4.49,,,,,,,,
SLN-O,10,0.34,0.29,0.51,0.46,0.72,0.98,0.59,1.59,1.17,,,,,,,,
SLN-P,1,6.53,18.64,4,9.34,7.01,30.6,338.76,14475.99,8392.39,3.57,,,,,,,
SLN-P,2,23.48,96.68,20.69,50.94,32.38,142.57,2338.48,68698.31,39836.46,17.16,,,,,,,
SLN-P,3,17.36,152.28,38.66,76.38,39.15,239.16,4052.63,37851.95,21783.04,9.56,,,,,,,
SLN-P,4,9.68,244.08,65.4,84.76,34.61,232.38,3220.2,11078.42,6793.37,3.33,,,,,,,
SLN-P,5,5.22,203.53,49.33,55.78,24.04,162.15,1561.91,3366.4,2302.4,0.99,,,,,,,
SLN-P,6,2.84,95.56,25.32,26.38,14.64,96.64,928.74,1972.71,1460.58,0.44,,,,,,,
SLN-P,7,0.58,11.65,4.2,3.63,2.42,16.37,191.87,415.13,266.18,0.2,,,,,,,
SLN-P,8,0,0.85,0.47,0.37,0.21,2.41,27.93,79.26,49.96,0,,,,,,,
SLN-P,9,0,0.11,0,0.06,0.05,0.34,4.4,18.26,12.25,0.06,,,,,,,
SLN-P,10,0,0,0,0,0,0.06,0.92,4.47,3.2,0.09,,,,,,,
SLN-Q,1,1.05,1.65,10.9,14.97,3.38,430.73,9.83,1.37,220.07,211.13,,,,,,,
SLN-Q,2,3.94,8.32,83.98,101.18,12.79,2099.75,52.94,6.43,699.1,1019.8,,,,,,,
SLN-Q,3,11.74,14.83,211.61,144.73,16.57,2395.68,85.54,8.08,1122.22,497.99,,,,,,,
SLN-Q,4,23.32,29.2,581.01,211.62,18.56,1865.86,83.68,7.23,921.19,211.6,,,,,,,
SLN-Q,5,19.87,23.95,520.69,129.16,13.95,1131.15,44.58,4.4,439.19,81.83,,,,,,,
SLN-Q,6,13.6,12.54,271.55,58.48,8.64,664.59,27.34,2.22,252.64,59.71,,,,,,,
SLN-Q,7,2.16,1.82,39.39,8.15,1.72,109.97,5.35,0.46,55.46,14.37,,,,,,,
SLN-Q,8,0,0,4.28,0.79,0.39,13.2,0.89,0,8.78,2.94,,,,,,,
SLN-Q,9,0,0,0.69,0.08,0.08,1.74,0.11,0,1.43,0.54,,,,,,,
SLN-Q,10,0,0,0.18,0,0.05,0.35,0.04,0,0.3,0.11,,,,,,,
SLN-T6,1,8.63,58.4,637.82,1727.92,1493.14,134.87,2.09,2.27,1.9,0.19,,,,,,,
SLN-T6,2,45.71,188.24,1606.05,6145.63,5990.63,391.43,7.93,8.43,7.39,0.97,,,,,,,
SLN-T6,3,150.25,585.11,2310.53,4323,3072.19,165.01,8.44,7.57,5.76,0.6,,,,,,,
SLN-T6,4,320.84,845.61,2676.63,3279.82,2475.38,140.61,16.26,7.27,7.73,0.35,,,,,,,
SLN-T6,5,241.94,525.85,1065.38,1285.32,1341.54,50.99,7.75,2.43,2.02,0,,,,,,,
SLN-T6,6,133.92,288.51,514.66,485.88,694,20.95,4.15,1.35,0.76,0,,,,,,,
SLN-T6,7,23.4,49.05,90.62,87.86,126.02,5.06,1.34,0.34,0.13,0,,,,,,,
SLN-T6,8,4.13,8.94,17.4,19.4,23.26,0.66,0,0,0,0,,,,,,,
SLN-T6,9,0.97,1.97,3.8,4.66,6.39,0.38,0,0,0,0,,,,,,,
SLN-T6,10,0.27,0.56,1.17,1.56,1.89,0.15,0,0,0,0,,,,,,,
SLN-W7,1,13.15,1.85,0.95,1.68,2.79,1305.77,225.39,28.65,87.18,121.26,1908.69,,,,,,
SLN-W7,2,86.91,8.51,5.38,8.17,12.28,5855.98,1598.41,205.49,858.38,1198.81,8183.33,,,,,,
SLN-W7,3,164.3,12.5,6.02,7.98,9.87,7100.1,1895.05,271.14,2331.21,2421.84,5754.85,,,,,,
SLN-W7,4,318.15,21.79,5.5,8.29,9.93,4786.48,1762.65,142.78,2089.19,1946.01,3061.68,,,,,,
SLN-W7,5,247.46,16.69,3.74,9.45,8.6,1630.95,957.01,97.08,767.16,616.76,1187.8,,,,,,
SLN-W7,6,126,9.06,2.06,4.67,4.86,777.52,517.04,97.95,414.59,321.16,651.69,,,,,,
SLN-W7,7,18.64,1.48,0.27,0.4,0.54,183.54,90.76,21.47,78.87,64.77,128.71,,,,,,
SLN-W7,8,1.94,0.15,0,0,0,36.99,12.62,4.42,10.81,9.18,19.04,,,,,,
SLN-W7,9,0.28,0.05,0,0,0,7.34,2.08,0.63,1.62,1.39,2.83,,,,,,
SLN-W7,10,0.07,0,0,0,0,1.71,0.5,0.09,0.35,0.33,0.58,,,,,,
